title,price,category,material,brand,description,view_count,comments,style
#BuckList 刮刮樂台灣地圖 (很適合送給外國朋友),699,地圖,紙,愛禮物,"
                            #送給喜歡台灣的外國朋友#送給喜歡旅行的妳我他<3 我們一起去旅行吧 <3環遊世界或許是個遙遠的夢想但是環遊台灣應該是可以完成的目標👐👐👐不管是徒步｜自行車｜摩托車｜汽車｜火車都可以輕鬆環遊台灣🌴🎀 愛 禮 物 創 意 設 計 🎀【Bucklist Taiwan 刮刮樂台灣地圖】讓我們每到一個城市就親手刮開一個地方吧❤親手完成整張地圖的感動是難以言喻的❤❤讓我們一起去旅行吧💋送給外國朋友最棒的禮物！產地/製造方式台灣設計 台灣製作大小大約是 26.5cm x 74 cm
                        ",8925,"[{'id': 'Kitty Chan', 'comment': '商品很可愛！！', 'score': 5}, {'id': 'Ingru Huang', 'comment': '朋友收到好開心，很讚哦！\n若有小款會再買來自用;-) ', 'score': 5}, {'id': 'story840909', 'comment': '很棒的地圖👍', 'score': 5}, {'id': '莎莎', 'comment': '商品很棒～～很喜歡～～', 'score': 5}]",cute
西部半島鐵道布地圖/壯遊鐵道系列,550,地圖,棉．麻,我在旅行,"
                            ✨**旅行，分享，認識你。**｜商品特色及故事｜一張地圖對於你的意義是什麼？查詢？解惑？一介普通的工具？對我們來說，他是夥伴。每一站我們都需要它陪著我們，蓋章、拍照、甚至風冷了還能擋擋。如果你不旅行，你就不會知道路線可以像日記一樣，充滿生命的痕跡。半島鐵道布地圖將台灣分為東西部，布地圖設計概念是個半成品，每個擁有地圖的主人都是完成地圖設計的創作人，唯有旅行的記錄可以豐富地圖上的空白，帶著他旅行，隨著每個人走過的路不同，沾附上的灰塵也不同，還有台灣大大小小車站紀念戳章的蒐集，讓地圖就像一份自己做給自己的禮物一樣，藉著鐵路環島一圈，完成屬於自己獨一無二的旅行記錄。｜商品材質及尺寸說明｜材料：胚布尺寸：50 x 100 公分 (誤差0.5)｜產地/製造方式｜　台灣／手工網版印刷布地圖製作過程相當繁複，每一份都是純手工網版印刷的喔！在這個講求統一與快速的時代，我們想支持傳統產業不用機械印刷，手工的珍貴在於必須依靠師傅當下印刷的力道與每一次墨水的調和不同，產生出的作品就會有不一樣的呈現，所以每一塊印刷之後的布地圖都是獨一無二的，不會百分百一樣，也因此都有屬於自己不同的溫度感。　　備註：布地圖呈現胚布原來的樣子，並沒有縫布邊，雖是如此但也不至會一直掉線頭，基本上只要把目前掉出來的線頭都拉掉就不會再掉了。請務必確保自己清楚了解並接受後再下訂單唷！　｜我在旅行品牌簡介｜選擇世界上最獨特的環島鐵道，當做遊戲的路線，你我都是主角，機會命運隨機發生，在婆娑之島上兩百多個大大小小的車站，用骰子決定前進的方向，帶著一張專屬勇氣的火車大富翁的地圖，期待在旅行中藉著搭便車或主動聊天的搭訕方式，試探一下自己面對陌生環境的膽量，坐上火車開始造自己精采可期的冒險故事，也發現台灣濃濃人情味的美好。我在旅行，從台灣出發，前往世界各地去旅行；在離開台灣前，決定要親身踏遍傳說中的美麗寶島，帶著這份溫暖的勇氣橫渡也飛越，認識別人的家鄉，也和他們好好地分享我們的土地。一起旅行台灣，一起分享故事，一起累積夢想的勇氣！產地/製造方式台灣
                        ",422,"[{'id': '喜彎彎', 'comment': '謝謝 收到商品囉~還不錯  \r\n不過寬度比我想像中的小 ^^""""', 'score': 5}, {'id': 'kerorofio117', 'comment': '想要拿著去旅行', 'score': 5}, {'id': 'Mikky MI', 'comment': '東西品質很好❤️', 'score': 5}, {'id': 'Maily', 'comment': '設計真的很可愛丶品質也非常好！\n收到立刻帶去環島 🛵🛵\r\nhttps://cdn03.pinkoi.com/pinkoi.review/iamtraveling/tUBaVrNA.jpg', 'score': 5}, {'id': '阮明皓', 'comment': '質感還不錯～\r\nhttps://cdn03.pinkoi.com/pinkoi.review/iamtraveling/vyKavDaQ.jpg', 'score': 5}, {'id': 'e901130', 'comment': '讚', 'score': 5}, {'id': 'Rocky Lee', 'comment': '邊邊沒有縫很容易脫線...', 'score': 3}, {'id': 'Chai Lin', 'comment': '出貨速度快👍', 'score': 5}, {'id': 'k222162003', 'comment': '很棒，期待旅行', 'score': 5}, {'id': '甄硍', 'comment': '已經收到了～雖然還沒拆開來看，不過我相信一定是很好的！感謝為了我的旅行計畫特別寄快捷郵件給我，嗚嗚超感人的，非常喜歡😘謝謝你們～', 'score': 5}]",cute
"國境之南－墾丁 ◀「布見不散。」帆布地圖【一杯下午茶的時間，即是旅行。】台灣印象紀念品 × 居家生活 × 店面擺飾 × 個性旅行 × 國外送禮 × Map of Kenting, Taiwan",300,地圖,人造纖維,台灣鐵道故事館,"
                            https://www.tr.net.tw/upload/download_files/c9a06d7df24b4d770dfa7e18d6026640.jpghttps://www.tr.net.tw/upload/download_files/41a6230fef099b2ad6c337996d77e474.jpghttps://www.tr.net.tw/upload/download_files/164abef5f310121ba00232c1d773fa39.jpg【產品名稱】布見不散。布地圖 (墾丁)【產品材質】帆布【產品尺寸】60 x 75 cm　※ 可水洗、可熨燙、不可漂白。※ 帆布為手工剪裁，尺寸可能有些微差異，為突顯自然風格邊緣可能保留鬚邊。※ 照片為商品實體拍攝，因拍攝環境差異與螢幕色差僅供參考，真實色彩以實品為準。產地/製造方式Made in Taiwan.https://www.tr.net.tw/upload/download_files/057c4b0189f6b20c9cdc33a242ea7283.jpg暖呼呼的房間角落，掛著一面藏著獨家記憶的地圖。或許是記憶中成長的家鄉、或許是努力過著每一天生活的居所、或著是回想起來就會不小心洋溢滿滿幸福傻笑的那一趟旅行。然後決定下次要去的地點，說好了『布見不散。』https://www.tr.net.tw/upload/download_files/242c09dfc43ae1a6944f8c0b004ef565.jpg將每一趟旅行的記憶永久保存，在日常生活的每一個角落。「一杯下午茶的時間，即是旅行。」緩慢找尋、仔細回味。當時造訪的地方。當時踏過的足跡。當時說過的言語。當時攜手的旅伴。https://www.tr.net.tw/upload/download_files/882e05dbd43a5df27a53464004f4dda2.jpg密密麻麻的車水馬龍，隱藏滿滿的設計巧思。 上百個地標景點、地方特色和可愛小人物。每一面布地圖都是設計師花費心血，親手一筆一劃重現旅行記憶輪廓。https://www.tr.net.tw/upload/download_files/28a3076dbb2dfe070d19747cc37bf456.jpghttps://www.tr.net.tw/upload/download_files/9cd8c300614739e55f74c89e9d38fd02.jpg用回憶撰寫故事。用創意點綴生活。請不用太拘束的，盡情用你的方式。裝飾自己的生活，紀錄自己的旅行。
                        ",2607,"[{'id': '黃妍婷', 'comment': '很有創意喔！', 'score': 4}, {'id': 'asuke', 'comment': '太喜歡了💕質感很棒、地圖超詳細的～', 'score': 5}, {'id': 'Tsiā Kasan', 'comment': '商品物超所值，期待更新的設計\n', 'score': 5}, {'id': 'ensha0430', 'comment': '出貨速度超快！！也很有質感～', 'score': 5}, {'id': 'Grace', 'comment': '很不錯 但布的味道有點重\n', 'score': 5}, {'id': '吳惠惠', 'comment': '清楚明遼', 'score': 4}, {'id': '劉云庭', 'comment': '很快就收到', 'score': 5}, {'id': 'fff', 'comment': '物品收到!非常棒唷  感謝', 'score': 5}, {'id': '蘇新博', 'comment': '喜歡', 'score': 5}, {'id': 'yins', 'comment': '晚給了評價，其實很快就拿到了！\n布很硬挺，質感很不錯👍\r\nhttps://cdn03.pinkoi.com/pinkoi.review/trc/eZMveANs.jpg', 'score': 5}, {'id': 'T.Y', 'comment': '感謝您~', 'score': 5}, {'id': 'Doly', 'comment': '超特棒的大地圖，可以把去過的地方ㄧㄧ標記！\n謝謝設計師：）\r\nhttps://cdn03.pinkoi.com/pinkoi.review/trc/YKvZespQ.jpg', 'score': 5}]",cute
Palomar｜揉一揉地圖精華版 <阿姆斯特丹>,348,地圖,防水材質,palomar,"
                            **旅行好伙伴，陪你一同冒險 玩樂全世界**Crumpled City Junior Map Paris一個獨特、不會被破壞也不需要小心翼翼折收的地圖，特殊材質所製成，軟質、非常輕盈，重量僅21公克，且100%防水的設計，下雨時可當作遮雨墊，晴天可當做野餐墊，使用完可以隨手丟進背包內，設計上運用了巧妙的插圖，能在第一時間吸引目光之外，也能輕鬆的尋找到景點。列出旅人們不容錯過的地點，這些景點都是由”世界特派員”所蒐集而來的「Soulsights」推薦，讓這些地圖成為最新的旅遊工具，為你帶來與眾不同的旅行回憶！產品名稱：揉一揉 地圖 精華版主要用途：世界各城市地圖，除了可查詢該城市知名景點，其特殊類紙質設計可隨意揉折且100%防水。主要材質：塑膠類紙質外盒尺寸：15cm X 11.5cm X 1.5cm地圖尺寸：65.8cm X 56cm城市類別：柏林、倫敦、紐約、巴黎、阿姆斯特丹包裝內容：地圖產地/製造方式義大利
                        ",5531,"[{'id': 'Lin A Han', 'comment': '已經收到，謝謝～～', 'score': 5}, {'id': 'evelyn88', 'comment': '掛上牆壁更美！', 'score': 5}, {'id': 'Alex Lai', 'comment': 'Thx', 'score': 5}, {'id': 'Gary Huang', 'comment': '超級棒！有質感', 'score': 5}, {'id': 'ruthchan2018', 'comment': '商品品質很好, 非常滿意', 'score': 5}, {'id': 'choo', 'comment': '質感很好！很喜歡！', 'score': 5}, {'id': 'antsky123', 'comment': '運送快速', 'score': 5}, {'id': '林瑜庭', 'comment': '👍🏻👍🏻👍🏻', 'score': 5}, {'id': '湯芷寧', 'comment': '終於有自己的世界地圖了', 'score': 5}, {'id': 'Miya Huang', 'comment': '很喜歡商品的質感', 'score': 5}, {'id': '曾榆涵', 'comment': '用心的好賣家', 'score': 5}, {'id': 'janpei117', 'comment': '迅速的收到了！地圖質感很好，連室內設計師看到都大讚！', 'score': 5}, {'id': '小葉', 'comment': '出貨很快速', 'score': 4}, {'id': '歐橘子', 'comment': '很有質感', 'score': 5}, {'id': 'Joanna Cheng', 'comment': '質感很好，超喜歡的!!附標地點的針也很有創意!', 'score': 5}, {'id': 'Rene Tsai', 'comment': '速度很快，品質相當不錯:D', 'score': 5}, {'id': 'fb_100000223197146', 'comment': '超喜歡❤️', 'score': 5}, {'id': 'j94529', 'comment': '出貨速度快~', 'score': 5}, {'id': 'Eing Chen', 'comment': '品質很棒 出貨快', 'score': 5}, {'id': 'Zuo', 'comment': '收到商品囉!!有效率的賣家\r\n商品質感也很不錯:)', 'score': 5}]",cute
Palomar｜揉一揉地圖精華版 <倫敦>,348,地圖,紙,palomar,"
                            **旅行好伙伴，陪你一同冒險 玩樂全世界**Crumpled City Junior Map London一個獨特、不會被破壞也不需要小心翼翼折收的地圖，特殊材質所製成，軟質、非常輕盈，重量僅21公克，且100%防水的設計，下雨時可當作遮雨墊，晴天可當做野餐墊，使用完可以隨手丟進背包內，設計上運用了巧妙的插圖，能在第一時間吸引目光之外，也能輕鬆的尋找到景點。列出旅人們不容錯過的地點，這些景點都是由”世界特派員”所蒐集而來的「Soulsights」推薦，讓這些地圖成為最新的旅遊工具，為你帶來與眾不同的旅行回憶！產品名稱：揉一揉 地圖 精華版主要用途：世界各城市地圖，除了可查詢該城市知名景點，其特殊類紙質設計可隨意揉折且100%防水。主要材質：塑膠類紙質外盒尺寸：15cm X 11.5cm X 1.5cm地圖尺寸：65.8cm X 56cm城市類別：柏林、倫敦、紐約、巴黎、阿姆斯特丹包裝內容：地圖產地/製造方式義大利
                        ",7662,"[{'id': 'metapher', 'comment': '朋友很喜歡~', 'score': 5}, {'id': 'Lin A Han', 'comment': '已經收到，謝謝～～', 'score': 5}, {'id': 'evelyn88', 'comment': '掛上牆壁更美！', 'score': 5}, {'id': 'Alex Lai', 'comment': 'Thx', 'score': 5}, {'id': 'Gary Huang', 'comment': '超級棒！有質感', 'score': 5}, {'id': 'ruthchan2018', 'comment': '商品品質很好, 非常滿意', 'score': 5}, {'id': 'choo', 'comment': '質感很好！很喜歡！', 'score': 5}, {'id': 'antsky123', 'comment': '運送快速', 'score': 5}, {'id': '林瑜庭', 'comment': '👍🏻👍🏻👍🏻', 'score': 5}, {'id': '湯芷寧', 'comment': '終於有自己的世界地圖了', 'score': 5}, {'id': 'Miya Huang', 'comment': '很喜歡商品的質感', 'score': 5}, {'id': '曾榆涵', 'comment': '用心的好賣家', 'score': 5}, {'id': 'janpei117', 'comment': '迅速的收到了！地圖質感很好，連室內設計師看到都大讚！', 'score': 5}, {'id': '小葉', 'comment': '出貨很快速', 'score': 4}, {'id': '歐橘子', 'comment': '很有質感', 'score': 5}, {'id': 'Joanna Cheng', 'comment': '質感很好，超喜歡的!!附標地點的針也很有創意!', 'score': 5}, {'id': 'Rene Tsai', 'comment': '速度很快，品質相當不錯:D', 'score': 5}, {'id': 'fb_100000223197146', 'comment': '超喜歡❤️', 'score': 5}, {'id': 'j94529', 'comment': '出貨速度快~', 'score': 5}, {'id': 'Eing Chen', 'comment': '品質很棒 出貨快', 'score': 5}]",cute
Palomar｜ 揉一揉地圖精華版 <紐約>,348,地圖,紙,palomar,"
                            **旅行好伙伴，陪你一同冒險 玩樂全世界**Crumpled City Junior Map New York一個獨特、不會被破壞也不需要小心翼翼折收的地圖，特殊材質所製成，軟質、非常輕盈，重量僅21公克，且100%防水的設計，下雨時可當作遮雨墊，晴天可當做野餐墊，使用完可以隨手丟進背包內，設計上運用了巧妙的插圖，能在第一時間吸引目光之外，也能輕鬆的尋找到景點。列出旅人們不容錯過的地點，這些景點都是由”世界特派員”所蒐集而來的「Soulsights」推薦，讓這些地圖成為最新的旅遊工具，為你帶來與眾不同的旅行回憶！產品名稱：揉一揉 地圖 精華版主要用途：世界各城市地圖，除了可查詢該城市知名景點，其特殊類紙質設計可隨意揉折且100%防水。主要材質：塑膠類紙質外盒尺寸：15cm X 11.5cm X 1.5cm地圖尺寸：65.8cm X 56cm城市類別：柏林、倫敦、紐約、巴黎、阿姆斯特丹包裝內容：地圖產地/製造方式義大利
                        ",8009,"[{'id': 'Lin A Han', 'comment': '已經收到，謝謝～～', 'score': 5}, {'id': 'evelyn88', 'comment': '掛上牆壁更美！', 'score': 5}, {'id': 'Alex Lai', 'comment': 'Thx', 'score': 5}, {'id': 'Gary Huang', 'comment': '超級棒！有質感', 'score': 5}, {'id': 'ruthchan2018', 'comment': '商品品質很好, 非常滿意', 'score': 5}, {'id': 'choo', 'comment': '質感很好！很喜歡！', 'score': 5}, {'id': 'antsky123', 'comment': '運送快速', 'score': 5}, {'id': '林瑜庭', 'comment': '👍🏻👍🏻👍🏻', 'score': 5}, {'id': '湯芷寧', 'comment': '終於有自己的世界地圖了', 'score': 5}, {'id': 'Miya Huang', 'comment': '很喜歡商品的質感', 'score': 5}, {'id': '曾榆涵', 'comment': '用心的好賣家', 'score': 5}, {'id': 'janpei117', 'comment': '迅速的收到了！地圖質感很好，連室內設計師看到都大讚！', 'score': 5}, {'id': '小葉', 'comment': '出貨很快速', 'score': 4}, {'id': '歐橘子', 'comment': '很有質感', 'score': 5}, {'id': 'Joanna Cheng', 'comment': '質感很好，超喜歡的!!附標地點的針也很有創意!', 'score': 5}, {'id': 'Rene Tsai', 'comment': '速度很快，品質相當不錯:D', 'score': 5}, {'id': 'fb_100000223197146', 'comment': '超喜歡❤️', 'score': 5}, {'id': 'j94529', 'comment': '出貨速度快~', 'score': 5}, {'id': 'Eing Chen', 'comment': '品質很棒 出貨快', 'score': 5}, {'id': 'Zuo', 'comment': '收到商品囉!!有效率的賣家\r\n商品質感也很不錯:)', 'score': 5}]",cute
Palomar｜ 揉一揉地圖精華版 <巴黎>,348,地圖,紙,palomar,"
                            **旅行好伙伴，陪你一同冒險 玩樂全世界**Crumpled City Junior Map Paris一個獨特、不會被破壞也不需要小心翼翼折收的地圖，特殊材質所製成，軟質、非常輕盈，重量僅21公克，且100%防水的設計，下雨時可當作遮雨墊，晴天可當做野餐墊，使用完可以隨手丟進背包內，設計上運用了巧妙的插圖，能在第一時間吸引目光之外，也能輕鬆的尋找到景點。列出旅人們不容錯過的地點，這些景點都是由”世界特派員”所蒐集而來的「Soulsights」推薦，讓這些地圖成為最新的旅遊工具，為你帶來與眾不同的旅行回憶！產品名稱：揉一揉 地圖 精華版主要用途：世界各城市地圖，除了可查詢該城市知名景點，其特殊類紙質設計可隨意揉折且100%防水。主要材質：塑膠類紙質外盒尺寸：15cm X 11.5cm X 1.5cm地圖尺寸：65.8cm X 56cm城市類別：柏林、倫敦、紐約、巴黎、阿姆斯特丹包裝內容：地圖產地/製造方式義大利
                        ",6540,"[{'id': 'Titus Chan', 'comment': 'NICE', 'score': 5}, {'id': 'Lin A Han', 'comment': '已經收到，謝謝～～', 'score': 5}, {'id': 'evelyn88', 'comment': '掛上牆壁更美！', 'score': 5}, {'id': 'Alex Lai', 'comment': 'Thx', 'score': 5}, {'id': 'Gary Huang', 'comment': '超級棒！有質感', 'score': 5}, {'id': 'ruthchan2018', 'comment': '商品品質很好, 非常滿意', 'score': 5}, {'id': 'choo', 'comment': '質感很好！很喜歡！', 'score': 5}, {'id': 'antsky123', 'comment': '運送快速', 'score': 5}, {'id': '林瑜庭', 'comment': '👍🏻👍🏻👍🏻', 'score': 5}, {'id': '湯芷寧', 'comment': '終於有自己的世界地圖了', 'score': 5}, {'id': 'Miya Huang', 'comment': '很喜歡商品的質感', 'score': 5}, {'id': '曾榆涵', 'comment': '用心的好賣家', 'score': 5}, {'id': 'janpei117', 'comment': '迅速的收到了！地圖質感很好，連室內設計師看到都大讚！', 'score': 5}, {'id': '小葉', 'comment': '出貨很快速', 'score': 4}, {'id': '歐橘子', 'comment': '很有質感', 'score': 5}, {'id': 'Joanna Cheng', 'comment': '質感很好，超喜歡的!!附標地點的針也很有創意!', 'score': 5}, {'id': 'Rene Tsai', 'comment': '速度很快，品質相當不錯:D', 'score': 5}, {'id': 'fb_100000223197146', 'comment': '超喜歡❤️', 'score': 5}, {'id': 'j94529', 'comment': '出貨速度快~', 'score': 5}, {'id': 'Eing Chen', 'comment': '品質很棒 出貨快', 'score': 5}]",cute
Palomar｜揉一揉地圖精華版 <柏林>,348,地圖,紙,palomar,"
                            **旅行好伙伴，陪你一同冒險 玩樂全世界**Crumpled City Junior Map Berlin一個獨特、不會被破壞也不需要小心翼翼折收的地圖，特殊材質所製成，軟質、非常輕盈，重量僅21公克，且100%防水的設計，下雨時可當作遮雨墊，晴天可當做野餐墊，使用完可以隨手丟進背包內，設計上運用了巧妙的插圖，能在第一時間吸引目光之外，也能輕鬆的尋找到景點。列出旅人們不容錯過的地點，這些景點都是由”世界特派員”所蒐集而來的「Soulsights」推薦，讓這些地圖成為最新的旅遊工具，為你帶來與眾不同的旅行回憶！產品名稱：揉一揉 地圖 精華版主要用途：世界各城市地圖，除了可查詢該城市知名景點，其特殊類紙質設計可隨意揉折且100%防水。主要材質：塑膠類紙質外盒尺寸：15cm X 11.5cm X 1.5cm地圖尺寸：65.8cm X 56cm城市類別：柏林、倫敦、紐約、巴黎、阿姆斯特丹包裝內容：地圖產地/製造方式義大利
